,geographic_name,site_type,longitude,latitude,geometry,date_mod,geo_database,google_maps,open_street_maps,aerial_photograph,cartographic_sheet,dictionary
42,los curas,locality,-75.6050947,3.6981855,POINT Z (-75.6050947 3.6981855 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
43,la cabaña,locality,-75.6558066,3.7335989,POINT Z (-75.65580660000001 3.7335989 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
44,el paraiso,locality,-75.6509904,3.7195752,POINT Z (-75.6509904 3.7195752 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
45,el recreo,locality,-75.5880962,3.7309075,POINT Z (-75.5880962 3.7309075 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
46,la aurora,locality,-75.6593479,3.6997437,POINT Z (-75.6593479 3.6997437 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
47,la marina,locality,-75.626626,3.7204251,POINT Z (-75.626626 3.7204251 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
48,el vergel,locality,-75.6668556,3.7486142,POINT Z (-75.66685560000001 3.7486142 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
49,santa lucia,locality,-75.6650141,3.7416731,POINT Z (-75.66501409999999 3.7416731 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
50,el salado,locality,-75.6715301,3.7559801,POINT Z (-75.6715301 3.7559801 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
51,aguas claras,hamlet,-75.645217,3.756465,POINT Z (-75.645217 3.756465 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
52,las juntas,hamlet,-75.6488393,3.7454388,POINT Z (-75.64883930000001 3.7454388 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
53,la tolda,locality,-75.6638808,3.7688706,POINT Z (-75.6638808 3.7688706 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
54,la primavera,hamlet,-75.6362497,3.7589903,POINT Z (-75.63624969999999 3.7589903 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
55,el canelo,locality,-75.5862547,3.7460644,POINT Z (-75.5862547 3.7460644 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
56,california,locality,-75.5893711,3.7379902,POINT Z (-75.58937109999999 3.7379902 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
57,el parasol,locality,-75.6019783,3.7531471,POINT Z (-75.6019783 3.7531471 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
58,la soledad,locality,-75.5984369,3.7501724,POINT Z (-75.5984369 3.7501724 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
59,la sonrisa,locality,-75.5967371,3.7437979,POINT Z (-75.5967371 3.7437979 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
60,esc. astilleros,school,-75.5900223,3.762422,POINT Z (-75.5900223 3.762422 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
61,la estrella,locality,-75.6077861,3.7600881,POINT Z (-75.6077861 3.7600881 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
62,la libia,locality,-75.5900794,3.7585299,POINT Z (-75.59007939999999 3.7585299 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
63,san pedro ambeima,hamlet,-75.6247043,3.7636779,POINT Z (-75.6247043 3.7636779 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
64,la floresta,locality,-75.6791794,3.8208574,POINT Z (-75.6791794 3.8208574 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
65,aurora hermosas,hamlet,-75.7202371,3.829805,POINT Z (-75.72023710000001 3.829805 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
66,el escobal,hamlet,-75.6880342,3.8648129,POINT Z (-75.6880342 3.8648129 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
67,davis,locality,-75.6813628,3.8431825,POINT Z (-75.6813628 3.8431825 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
68,el oriente,locality,-75.7159817,3.8506493,POINT Z (-75.7159817 3.8506493 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
