,geographic_name,geometry,site_type,date_mod,dictionary,geo_database,google_maps,open_street_maps,aerial_photograph,cartographic_sheet,longitude,latitude
1766,El Prado,POINT Z (-75.45879295898641 3.94638700525587 0),,2015-04-28T00:00:00+00:00,True,True,False,False,False,False,-75.45879295898641,3.94638700525587
1767,La Angostura,POINT Z (-75.44643986160494 3.949114996370271 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.44643986160494,3.949114996370271
1768,El Vergel,POINT Z (-75.45628447485745 3.952596652167144 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.45628447485745,3.9525966521671436
1769,Genil,POINT Z (-75.45541790451252 3.95214355526722 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.45541790451252,3.95214355526722
1770,Las Palmas,POINT Z (-75.44871679242199 3.957628954879562 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.44871679242199,3.957628954879562
1771,Santa Rita,POINT Z (-75.45243382747584 3.956357967528415 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.45243382747584,3.9563579675284153
1772,El Corazón,POINT Z (-75.45601726082799 3.953635735004068 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.45601726082799,3.9536357350040676
1773,La Congoja,POINT Z (-75.4341128924638 3.943783945462123 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.4341128924638,3.943783945462123
1774,Altamira (Bonanza),POINT Z (-75.439698592227 3.954150247930425 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.439698592227,3.954150247930425
1775,Palestina,POINT Z (-75.55700002896154 3.928190539864822 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.55700002896154,3.9281905398648216
1776,El Porvenir,POINT Z (-75.54295179580663 3.937698746722069 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.54295179580663,3.9376987467220688
1777,La Gualera,POINT Z (-75.51353863191395 3.938482316704186 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.51353863191395,3.9384823167041865
1778,El Carmín,POINT Z (-75.5058277079216 3.940550841319153 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.5058277079216,3.940550841319153
1779,Maracaibo,POINT Z (-75.50557057829077 3.942149792415595 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.50557057829077,3.9421497924155955
1780,Corinto,POINT Z (-75.49606733184663 3.940844873977452 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49606733184663,3.940844873977452
1781,Buena Vista,POINT Z (-75.49913520253864 3.930269865522781 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49913520253864,3.9302698655227815
1782,El Mirador,POINT Z (-75.49377177425302 3.939453263640225 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49377177425302,3.9394532636402246
1783,Buenos Aires,POINT Z (-75.49417567458563 3.938196598546258 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49417567458563,3.938196598546258
1784,La Esperanza,POINT Z (-75.49288897064682 3.936029375609359 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49288897064682,3.936029375609359
1785,La Laguna,POINT Z (-75.49147402344994 3.934857363374705 0),Laguna,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49147402344994,3.934857363374705
1786,Holanda,POINT Z (-75.4838159956761 3.939470187592706 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.4838159956761,3.9394701875927063
1787,San Rafael,POINT Z (-75.4853897113056 3.938472523134273 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.4853897113056,3.938472523134273
1788,Buenos Aires,POINT Z (-75.48202293797034 3.935574781291482 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.48202293797034,3.935574781291482
1789,La Esperanza,POINT Z (-75.48725216499544 3.935337565527306 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.48725216499544,3.935337565527306
1790,La Joya ó Bolivia,POINT Z (-75.48980450207657 3.936817572331852 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.48980450207657,3.9368175723318517
1791,Buenos Aires,POINT Z (-75.48146396088345 3.941219497465205 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.48146396088345,3.9412194974652053
1792,Zanja Honda,POINT Z (-75.48161461707707 3.934205307117192 0),Zanja,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.48161461707707,3.934205307117192
1793,El Alto,POINT Z (-75.48664787617517 3.933332283794639 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.48664787617517,3.9333322837946394
1794,Las Margaritas,POINT Z (-75.48087894093514 3.93131941576826 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.48087894093514,3.9313194157682605
